"Vendor","postal_code_vendor","contract_date","contract_value","commodity_code","commodity_code_descn","economic_object_code","economic_object_code_descn","contract_period_start","delivery_date","reporting_period","avg_lat","avg_long"
"Accenture","K1P","2021-11-08",184868,"D302","OADP Systems Development Services",491,"Management consulting","2021-11-08","2022-02-14","2021-2022-Q3",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-09-23",135877.98,"D302","OADP Systems Development Services",491,"Management consulting","2021-09-23","2021-12-03","2021-2022-Q2",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-09-13",175624.6,"D302","OADP Systems Development Services",491,"Management consulting","2021-09-13","2021-12-31","2021-2022-Q2",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-07-23",147894.4,"D302","OADP Systems Development Services",491,"Management consulting","2021-07-26","2021-10-31","2021-2022-Q2",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-07-07",385449.78,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2021-07-07","2021-10-10","2021-2022-Q2",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-05-10",203354.8,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2021-05-10","2021-10-29","2021-2022-Q1",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-05-10",332762.4,"D302","OADP Systems Development Services",491,"Management consulting","2021-05-10","2021-10-29","2021-2022-Q1",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-03-04",78568.9,"D302","OADP Systems Development Services",491,"Management consulting","2021-03-04","2021-05-31","2020-2021-Q4",45.3913220442922,-75.7413337666667
"Accenture","K1P","2021-02-16",314275.6,"D302","OADP Systems Development Services",491,"Management consulting","2021-02-16","2021-07-31","2020-2021-Q4",45.3913220442922,-75.7413337666667
"Accenture","K1P","2019-10-14",175624.6,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2019-10-14","2020-03-06","2019-2020-Q3",45.3913220442922,-75.7413337666667
"Altis Recruitment","K1P","2023-10-23",79210.74,"R010","Auditing Services",473,"Information technology and telecommunications consultants","2023-10-23","2024-03-29","2023-2024-Q3",45.3913220442922,-75.7413337666667
"BABEL STREET","20190","2025-05-28",47923.25,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-05-28","2026-05-27","2025-2026-Q1",38.961,-77.3425
"BABEL STREET","20190","2025-05-27",239616.24,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-05-31","2026-05-30","2025-2026-Q1",38.961,-77.3425
"BABEL STREET","20190","2025-05-27",24040.12,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-06-22","2026-06-21","2025-2026-Q1",38.961,-77.3425
"BABEL STREET","20190","2025-03-28",100849.15,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-03-28","2026-03-27","2024-2025-Q4",38.961,-77.3425
"BABEL STREET","20190","2025-03-02",84959.84,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-03-04","2026-03-03","2024-2025-Q4",38.961,-77.3425
"BABEL STREET","20190","2025-03-02",100956.11,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-03-04","2026-03-03","2024-2025-Q4",38.961,-77.3425
"BABEL STREET","20190","2025-02-20",49569.87,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-02-20","2026-02-19","2024-2025-Q4",38.961,-77.3425
"BABEL STREET","20190","2025-02-15",199730.72,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-02-15","2026-02-14","2024-2025-Q4",38.961,-77.3425
"BABEL STREET","20190","2025-01-07",193473.49,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-01-07","2026-01-06","2024-2025-Q4",38.961,-77.3425
"BABEL STREET","20190","2024-12-20",75364.75,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-01-04","2026-01-03","2024-2025-Q3",38.961,-77.3425
"BABEL STREET","20190","2024-10-30",72915.75,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-11-02","2025-11-01","2024-2025-Q3",38.961,-77.3425
"BABEL STREET","20190","2024-05-27",230517.02,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-05-31","2025-05-30","2024-2025-Q1",38.961,-77.3425
"BABEL STREET","20190","2024-05-27",23051.7,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-06-22","2025-06-21","2024-2025-Q1",38.961,-77.3425
"BABEL STREET","20190","2024-03-06",68755.69,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-03-28","2025-03-26","2023-2024-Q4",38.961,-77.3425
"BABEL STREET","20190","2024-01-31",22665.77,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-02-01","2025-01-31","2023-2024-Q4",38.961,-77.3425
"BABEL STREET","20190","2024-01-31",181326.15,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-02-15","2025-02-14","2023-2024-Q4",38.961,-77.3425
"BABEL STREET","20190","2023-12-20",67466.44,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2024-01-04","2025-01-03","2023-2024-Q3",38.961,-77.3425
"BABEL STREET","20190","2023-11-02",46861.79,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-11-02","2024-11-01","2023-2024-Q3",38.961,-77.3425
"BABEL STREET","20190","2023-10-31",69969.11,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-11-02","2024-11-01","2023-2024-Q3",38.961,-77.3425
"BABEL STREET","20190","2023-06-22",22193.88,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-06-22","2024-06-21","2023-2024-Q1",38.961,-77.3425
"BABEL STREET","20190","2023-05-31",235632.73,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-05-31","2024-05-30","2023-2024-Q1",38.961,-77.3425
"BABEL STREET","20190","2023-05-31",222101.75,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-05-31","2024-05-30","2023-2024-Q1",38.961,-77.3425
"BABEL STREET","20190","2023-03-28",94190.9,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-03-28","2024-03-27","2022-2023-Q4",38.961,-77.3425
"BABEL STREET","20190","2023-01-26",185147.92,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2023-02-15","2024-02-14","2022-2023-Q4",38.961,-77.3425
"BABEL STREET","20190","2022-12-21",94601.32,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-12-21","2023-01-04","2022-2023-Q3",38.961,-77.3425
"BABEL STREET","20190","2022-11-02",70642.78,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-11-02","2023-11-01","2022-2023-Q3",38.961,-77.3425
"BABEL STREET","20190","2022-05-30",212933.94,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-05-31","2022-05-31","2022-2023-Q1",38.961,-77.3425
"BABEL STREET","20190","2022-03-28",21130.77,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-03-28","2023-03-27","2021-2022-Q4",38.961,-77.3425
"BABEL STREET","20190","2022-03-24",84523.09,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-03-28","2023-03-27","2021-2022-Q4",38.961,-77.3425
"BABEL STREET","20190","2022-02-15",171594.47,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-02-15","2023-02-14","2021-2022-Q4",38.961,-77.3425
"BABEL STREET","20190","2021-12-22",80322.92,"T004","Public Relations Services (incl. Writing Services, Event Planning a",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2022-01-04","2023-01-03","2021-2022-Q3",38.961,-77.3425
"BANFIELD-SEGUIN LTD.","K1Y","2022-11-16",150982.13,"T001","Market Research and Public Opinion Services (Formerly Telephone and",491,"Management consulting","2022-11-08","2023-03-31","2022-2023-Q3",45.3981215423033,-75.7311820247368
"BLOOMBERG FINANCE L.P.","M5J","2025-06-23",155568.56,"D307","Automated Information System Design and Integration Services",812,"Computer services (includes IT solutions/deliverables as well as IT managed services)","2025-06-23","2026-06-22","2025-2026-Q1",43.6423781181818,-79.3793450754546
"BOREAL VETERINARY CENTRE","T5V","2025-03-05",14136.96,"F021","Veterinary/Animal Care Services (incl. Livestock Services)",499,"Other professional services not elsewhere specified","2025-03-05","2025-03-07","2024-2025-Q4",53.5785081736842,-113.599197463158
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",287189.5,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1",45.3913220442922,-75.7413337666667
"CACHE CONSULTING CORPORATION","K1P","2025-04-01",236170,"D302","OADP Systems Development Services",473,"Information technology and telecommunications consultants","2025-04-01","2026-03-31","2025-2026-Q1",45.3913220442922,-75.7413337666667
