"vendor_name","vendor_postal_code","owner_org","owner_org_title","contract_value","commodity_code","commodity_type","economic_object_code","contract_date","contract_period_start","delivery_date","reporting_period","contracting_entity","commodity_type_describe","commodity_type1","GSIN.code","GSIN.Description","Commodity.Type"
"DELOITTE LLP","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",2619248.92,"D302","S",473,2024-12-18,2025-01-02,2025-05-31,"2024-2025-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"DALIAN ENTERPRISES AND",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",244080,"D302","S",473,2019-07-01,2019-07-01,2020-06-30,"2019-2020-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",539052.38,"D302","S",473,2025-03-10,2025-03-10,2025-05-16,"2024-2025-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"CACHE CONSULTING CORPORATION","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",266657.4,"D302","S",473,2025-04-01,2025-04-01,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"S.I. SYSTEMS PARTNERSHIP","T2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",63908.13,"D302","S",473,2022-02-18,2022-02-18,2023-01-11,"2021-2022-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",266535.36,"D302","S",473,2022-07-19,2022-07-19,2023-05-02,"2022-2023-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"I4C INFORMATION TECHNOLOGY","K2K","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",991575.01,"D302","S",473,2021-12-01,2021-12-01,2024-03-31,"2022-2023-Q4","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"DELOITTE LLP","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1144875.04,"D302","S",473,2024-10-21,2024-10-21,2024-12-31,"2024-2025-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",248175.12,"D302","S",473,2018-08-27,2018-08-27,2019-09-03,"2018-2019-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",318714.24,"D302","S",473,2024-05-16,2024-05-16,2025-05-02,"2024-2025-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",104885.48,"D302","S",473,2024-03-04,2024-03-04,2024-05-31,"2024-2025-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"DELOITTE LLP","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1909860.61,"D302","S",473,2024-07-19,2024-07-19,2024-09-20,"2024-2025-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",2465044.15,"D302","S",473,2024-04-29,2024-04-29,2024-08-20,"2024-2025-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",50768.64,"D302","S",473,2024-03-06,2024-03-06,2024-05-02,"2023-2024-Q4","PWC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",3225443.75,"D302","S",491,2023-09-18,2023-09-18,2024-02-09,"2023-2024-Q2","PWC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",4422938.65,"D302","S",473,2023-03-20,2023-03-20,2023-09-30,"2022-2023-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",4992482.47,"D302","S",473,2023-02-20,2023-02-20,2024-03-31,"2023-2024-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",4885968.67,"D302","S",473,2023-02-20,2023-02-20,2024-12-31,"2023-2024-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"CACHE CONSULTING CORPORATION","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",241537.5,"D302","S",473,2025-04-01,2025-04-01,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"ADGA GROUP CONSULTANTS INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1830600,"D302","S",473,2018-10-01,2018-10-01,2021-09-30,"2020-2021-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"COFOMO OTTAWA","K1N","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",661631.68,"D302","S",473,2022-12-12,2022-12-12,2024-10-10,"2023-2024-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.","K2E","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1809446.4,"D302","S",473,2022-12-01,2022-12-01,2025-11-30,"2024-2025-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",520378.56,"D302","S",473,2022-11-07,2022-11-07,2024-05-02,"2023-2024-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"ESRI CANADA LIMITED",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",45058.75,"D302","S",473,2019-02-25,2019-02-25,2019-08-30,"2018-2019-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"S.I. SYSTEMS PARTNERSHIP","T2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",35253.06,"D302","S",473,2022-04-14,2022-05-16,2023-01-11,"2022-2023-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.","K2E","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1206297.6,"D302","S",473,2022-12-01,2022-12-01,2024-10-31,"2022-2023-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"NRNS INCORPORATED",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",325440,"D302","S",473,2019-01-21,2019-01-21,2020-01-20,"2018-2019-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1132621.6,"D302","S",473,2015-04-01,2015-04-01,2019-03-31,"2017-2018-Q4","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"DELOITTE LLP","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1997087.27,"D302","S",473,2024-03-07,2024-03-07,2024-06-14,"2023-2024-Q4","PWC","Services","S","D302","OADP Systems Development Services","Services"
"S.I. SYSTEMS PARTNERSHIP","T2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",68289.29,"D302","S",473,2022-02-18,2022-02-18,2023-01-11,"2021-2022-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"CISTEL TECHNOLOGY INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",331632.4,"D302","S",473,2019-08-01,2019-08-01,2020-07-31,"2019-2020-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"I4C INFORMATION TECHNOLOGY","K2K","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1209365.56,"D302","S",473,2021-12-01,2021-12-01,2025-03-31,"2023-2024-Q4","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"SYSTEMATIX IT SOLUTIONS INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",313733.2,"D302","S",473,2018-10-16,2018-10-16,2019-10-15,"2018-2019-Q3","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",385449.78,"D302","S",473,2021-07-07,2021-07-07,2021-10-10,"2021-2022-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",157409,"D302","S",473,2018-09-10,2018-09-10,2018-09-10,"2018-2019-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1R","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",145199.35,"D302","S",473,2025-05-12,2025-05-12,2025-12-22,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"NRNS INCORPORATED",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",105768,"D302","S",473,2018-08-28,2018-08-28,2018-12-31,"2018-2019-Q2","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",93321.05,"D302","S",473,2020-10-28,2020-10-28,2021-03-31,"2020-2021-Q3",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",166381.2,"D302","S",491,2021-12-13,2021-12-13,2022-03-31,"2021-2022-Q3",NA,"Services","S","D302","OADP Systems Development Services","Services"
"DELOITTE LLP","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1805310.75,"D302","S",473,2024-07-19,2024-07-19,2024-09-20,"2024-2025-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",175624.6,"D302","S",491,2021-09-13,2021-09-13,2021-12-31,"2021-2022-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",135877.98,"D302","S",491,2021-09-23,2021-09-23,2021-12-03,"2021-2022-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"DALIAN ENTERPRISES AND",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",488160,"D302","S",473,2019-05-10,2019-07-01,2021-06-30,"2020-2021-Q1","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",175624.6,"D302","S",473,2019-10-14,2019-10-14,2020-03-06,"2019-2020-Q3",NA,"Services","S","D302","OADP Systems Development Services","Services"
"SAP CANADA INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",69093.85,"D302","S",473,2021-11-15,2021-11-15,2022-11-15,"2021-2022-Q3",NA,"Services","S","D302","OADP Systems Development Services","Services"
"S.I. SYSTEMS PARTNERSHIP","T2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",22217.45,"D302","S",473,2022-02-18,2022-02-18,2023-01-11,"2022-2023-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",860689.93,"D302","S",473,2018-09-10,2018-09-10,2022-03-31,"2021-2022-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",128733.1,"D302","S",473,2022-04-03,2022-04-03,2022-10-13,"2022-2023-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",126560,"D302","S",473,2018-08-27,2018-08-27,2019-03-31,"2018-2019-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",276199.12,"D302","S",473,2018-08-27,2018-08-27,2019-11-29,"2019-2020-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ADGA GROUP CONSULTANTS INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",610200,"D302","S",473,2018-10-01,2018-10-01,2019-09-30,"2018-2019-Q3","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",304698.85,"D302","S",473,2018-09-10,2018-09-10,2019-09-30,"2018-2019-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ESRI CANADA LIMITED",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",85202,"D302","S",473,2019-02-25,2019-02-25,2022-03-31,"2021-2022-Q2",NA,"Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",181920.96,"D302","S",473,2022-11-07,2022-11-07,2023-05-02,"2022-2023-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1997252.4,"D302","S",473,2022-12-07,2022-12-07,2024-03-31,"2022-2023-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"NRNS INCORPORATED",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",976320,"D302","S",473,2019-01-21,2019-01-21,2022-01-20,"2020-2021-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"COFOMO INC.","K1N","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",429966.73,"D302","S",473,2023-02-22,2023-02-22,2023-11-09,"2023-2024-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",318714.24,"D302","S",473,2023-06-05,2023-06-05,2024-05-02,"2023-2024-Q1","PWC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",3468749.7,"D302","S",491,2023-11-22,2023-11-22,2024-04-26,"2023-2024-Q3","PWC","Services","S","D302","OADP Systems Development Services","Services"
"COFOMO INC.","K1N","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",203119.44,"D302","S",473,2023-11-06,2023-11-10,2024-05-31,"2023-2024-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",540083.5,"D302","S",473,2024-02-05,2024-02-05,2024-05-08,"2023-2024-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"NRNS INCORPORATED","K0H","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",279110,"D302","S",473,2025-05-15,2025-05-15,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"COFOMO INC.","K1N","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",213574.11,"D302","S",473,2024-05-09,2024-05-09,2024-12-31,"2024-2025-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",88055.25,"D302","S",473,2024-07-02,2024-07-02,2024-08-30,"2024-2025-Q2","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",52432,"D302","S",473,2018-06-01,2018-06-01,2018-06-01,"2018-2019-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"MODIS CANADA INC","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",289590.75,"D302","S",473,2022-12-07,2022-12-07,2024-03-31,"2022-2023-Q3","DC","Services","S","D302","OADP Systems Development Services","Services"
"AKKODIS CANADA INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",349868.85,"D302","S",473,2022-12-07,2022-12-07,2025-12-22,"2023-2024-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",78568.9,"D302","S",491,2021-03-04,2021-03-04,2021-05-31,"2020-2021-Q4",NA,"Services","S","D302","OADP Systems Development Services","Services"
"ACCENTURE INC.","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",436010.5,"D302","S",473,2025-01-06,2025-01-06,2025-03-07,"2024-2025-Q4","DC","Services","S","D302","OADP Systems Development Services","Services"
"ORANGUTECH INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",285890,"D302","S",473,2019-11-22,2019-11-22,2020-11-30,"2020-2021-Q1",NA,"Services","S","D302","OADP Systems Development Services","Services"
"DALIAN ENTERPRISES AND","K2P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1377018,"D302","S",473,2019-07-01,2019-07-01,2024-12-31,"2023-2024-Q3","PWSOSA","Services","S","D302","OADP Systems Development Services","Services"
"CACHE CONSULTING CORPORATION","K1P","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",241537.5,"D302","S",473,2025-04-01,2025-04-01,2026-03-31,"2025-2026-Q1","DC","Services","S","D302","OADP Systems Development Services","Services"
"S. I. SYSTEMS",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",836145.56,"D307","S",473,2014-05-22,2014-05-22,2018-04-30,"2017-2018-Q4",NA,"Services","S","D307","Automated Information System Design and Integration Services","Services"
"BLOOMBERG FINANCE L.P.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",155568.56,"D307","S",812,2025-06-23,2025-06-23,2026-06-22,"2025-2026-Q1","PWC","Services","S","D307","Automated Information System Design and Integration Services","Services"
"TECHNOLOGY AND BUSINESS CONSULTANTS",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1057182.8,"D307","S",473,2014-02-17,2014-02-17,2019-03-29,"2018-2019-Q2","PWSOSA","Services","S","D307","Automated Information System Design and Integration Services","Services"
"S. I. SYSTEMS",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",771923.99,"D307","S",473,2017-05-15,2014-05-22,2017-11-22,"2017-2018-Q1",NA,"Services","S","D307","Automated Information System Design and Integration Services","Services"
"OPENFRAME TECHNOLOGIES INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",908305.58,"D308","S",473,2016-06-23,2016-06-23,2020-02-20,"2018-2019-Q4",NA,"Services","S","D308","Programming Services","Services"
"OPENFRAME TECHNOLOGIES INC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",605217.09,"D308","S",473,2016-06-23,2016-06-23,2019-02-20,"2017-2018-Q4",NA,"Services","S","D308","Programming Services","Services"
"GARTNER CANADA INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",311631.4,"D317","S",812,2019-03-27,2019-03-27,2019-04-01,"2018-2019-Q4",NA,"Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.","K1Z","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",196879.9,"D317","S",491,2022-03-02,2022-03-02,2022-04-30,"2021-2022-Q4","DSOSA","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.","K1Z","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",319351.37,"D317","S",812,2022-01-28,2022-01-28,2022-03-31,"2021-2022-Q4","PWC","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",237243.5,"D317","S",812,2018-01-02,2018-01-02,2018-03-31,"2017-2018-Q4",NA,"Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER GROUP CANADA","K1Z","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",52997,"D317","S",491,2025-03-31,2025-03-31,2025-03-31,"2024-2025-Q4","DC","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",194149.82,"D317","S",473,2021-07-29,2021-07-29,2021-07-30,"2021-2022-Q2","PWSOSA","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",325146.2,"D317","S",812,2021-03-08,2021-03-08,2021-03-31,"2020-2021-Q4",NA,"Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"HUBSTREAM LLC",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",50516.4,"D317","S",812,2022-03-30,2022-03-30,2022-06-30,"2021-2022-Q4","DC","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"INFO-TECH RESEARCH GROUP","N6A","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",328136.07,"D317","S",491,2022-04-05,2022-04-05,2022-04-01,"2022-2023-Q1","PWSOSA","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.","K1Z","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",314128.7,"D317","S",812,2022-12-08,2022-12-08,2023-01-31,"2022-2023-Q3","PWC","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA CO.","M5W","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",51161.88,"D317","S",491,2024-02-29,2024-02-29,2024-03-01,"2023-2024-Q4","PWSOSA","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"GARTNER CANADA INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",311631.4,"D317","S",812,2020-02-03,2020-02-03,2020-03-31,"2019-2020-Q4",NA,"Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"CEB INC.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",49431.85,"D317","S",491,2023-03-01,2023-03-01,2024-02-29,"2022-2023-Q4","PWSOSA","Services","S","D317","Automated News Services, Data Services, or Other Information Servic","Services"
"WESTOWER COMMUNICATIONS LTD.",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",23606.05,"D399","S",473,2019-10-22,2019-10-22,2020-03-31,"2019-2020-Q3",NA,"Services","S","D399","Other ADP and Telecommunications Services (incl. data storage on ta","Services"
"MINISTER OF FINANCE",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",2235600,"D399","S",473,2017-07-05,2017-07-05,2018-03-31,"2017-2018-Q2",NA,"Services","S","D399","Other ADP and Telecommunications Services (incl. data storage on ta","Services"
"FLEMING COMMUNICATIONS INC.","K1G","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",10751.39,"E110","S",473,2024-01-12,2024-01-12,2024-06-14,"2023-2024-Q4","DC","Services","S","E110","Industrial Investigations, Surveys and Technical Support for Multip","Services"
"OTTAWA VALLEY VETERINARY",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",119656.57,"F021","S",499,2016-12-01,2016-12-01,2018-11-14,"2018-2019-Q1",NA,"Services","S","F021","Veterinary/Animal Care Services (incl. Livestock Services)","Services"
"BOREAL VETERINARY CENTRE","T5V","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",14136.96,"F021","S",499,2025-03-05,2025-03-05,2025-03-07,"2024-2025-Q4","DC","Services","S","F021","Veterinary/Animal Care Services (incl. Livestock Services)","Services"
"OTTAWA VALLEY VETERINARY",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",875750,"F021","S",499,2017-01-17,2012-06-01,2018-05-31,"2016-2017-Q4",NA,"Services","S","F021","Veterinary/Animal Care Services (incl. Livestock Services)","Services"
"OTTAWA VALLEY VETERINARY",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",241696.57,"F021","S",499,2016-11-08,2016-11-08,2020-11-14,"2019-2020-Q3",NA,"Services","S","F021","Veterinary/Animal Care Services (incl. Livestock Services)","Services"
"OTTAWA VALLEY VETERINARY",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",180676.57,"F021","S",499,2016-11-08,2016-11-08,2019-11-14,"2018-2019-Q3",NA,"Services","S","F021","Veterinary/Animal Care Services (incl. Livestock Services)","Services"
"ASSOCIATED AMBULANCE & SERVICES",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",31795.94,"G001","S",813,2018-08-23,2018-08-23,2018-09-08,"2018-2019-Q2",NA,"Services","S","G001","Health Care","Services"
"PROFESSIONAL MEDICAL CORP",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",549465.16,"G009","S",491,2014-03-13,2014-03-13,2019-03-31,"2018-2019-Q1",NA,"Services","S","G009","Other Health Services","Services"
"SCHMALZ CONSULTING LTD",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1731423.89,"G009","S",491,2017-01-17,2011-09-09,2017-03-31,"2016-2017-Q4",NA,"Services","S","G009","Other Health Services","Services"
"DR. E. PETER SEVIOUR","A1A","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",484875,"G009","S",491,2021-03-03,2021-03-03,2024-05-31,"2023-2024-Q4","DC","Services","S","G009","Other Health Services","Services"
"PROFESSIONAL MEDICAL CORP",NA,"rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",34960,"G009","S",491,2020-04-02,2020-04-02,2020-12-31,"2020-2021-Q2",NA,"Services","S","G009","Other Health Services","Services"
"DR. RANDOLPH BOYD RUSSELL","E3B","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",1009131.5,"G009","S",491,2023-02-01,2023-02-01,2025-03-31,"2023-2024-Q4","DC","Services","S","G009","Other Health Services","Services"
"ERIK N. VU MD CORP","V7L","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",40104.75,"G009","S",491,2023-01-27,2023-01-27,2024-03-31,"2022-2023-Q4","DC","Services","S","G009","Other Health Services","Services"
"DR. ROBERT J. DAIGLE C.P. INC.","E3B","rcmp-grc","Royal Canadian Mounted Police | Gendarmerie royale du Canada",68640,"G009","S",491,2023-02-01,2023-02-01,2024-01-31,"2022-2023-Q4","DC","Services","S","G009","Other Health Services","Services"
